e_cusip_id,cusip,dt,purpose,base_ccy,mkt_value,notional
1,00037BAB8,2019-09-27,P100,USD,12854.1,12854.1
2,00037BAC6,2019-09-27,P100,USD,9329.62,9329.62
3,00037BAE2,2019-09-27,P100,USD,4740.4,4740.4
4,00037BAF9,2019-09-27,P100,USD,8501.72,8501.72
5,001055AJ1,2019-09-27,P100,USD,3656.09,3656.09
6,001055AL6,2019-09-27,P100,USD,7424.18,7424.18
7,001055AM4,2019-09-27,P100,USD,8056.48,8056.48
8,001055AP7,2019-09-27,P100,USD,4794.81,4794.81
9,001055AQ5,2019-09-27,P100,USD,3137.98,3137.98
10,001055AR3,2019-09-27,P100,USD,4477.72,4477.72
